Quarter,Life Satisfaction - Mean Score,Life Satisfaction - Low %,Life Satisfaction - Medium %,Life Satisfaction - High %,Worthwhile - Mean Score,Worthwhile - Low %,Worthwhile - Medium %,Worthwhile - High %,Worthwhile - Very High %,Happiness - Mean Score,Happiness - Low %,Happiness - Medium %,Happiness - High %,Happiness - Very High %,Anxiety - Mean Score,Anxiety - Very Low %,Anxiety - Low %,Anxiety - Medium %,Anxiety - High %
Apr to June 2011 (Q2),7.4,7.2,17.5,49.5,7.6,5.0,15.6,48.6,30.9,7.3,11.2,17.6,38.4,32.8,3.2,35.2,23.8,17.9,23.1
July to Sept 2011 (Q3),7.4,6.7,17.4,49.8,7.7,4.9,15.6,48.7,31.3,7.3,10.8,17.9,38.4,31.7,3.1,36.6,23.6,18.2,21.6
Oct to Dec 2011 (Q4),7.4,6.1,17.1,50.8,7.7,4.5,15.6,49.7,31.3,7.2,10.7,18.8,38.4,30.2,3.1,36.8,23.8,18.0,21.3
Jan to Mar 2012 (Q1),7.4,6.4,17.8,49.8,7.7,4.6,15.6,49.0,31.5,7.3,10.9,17.9,38.4,31.5,3.1,37.7,23.3,18.0,21.1
Apr to June 2012 (Q2),7.4,5.9,17.6,51.2,7.7,4.3,15.6,49.5,30.8,7.3,10.7,18.3,38.4,30.7,3.1,37.2,23.6,17.8,21.3
July to Sept 2012 (Q3),7.5,5.6,17.0,51.1,7.7,4.3,15.6,49.7,31.3,7.3,10.0,17.6,38.4,32.5,3.0,38.1,23.5,17.8,20.6
Oct to Dec 2012 (Q4),7.5,5.5,17.0,51.8,7.7,4.2,15.6,49.7,31.3,7.3,10.4,18.1,38.4,30.1,3.0,37.8,23.7,17.5,21.0
Jan to Mar 2013 (Q1),7.4,5.8,17.1,51.6,7.7,4.5,15.6,49.8,31.2,7.3,10.4,18.0,38.4,29.8,3.0,38.1,23.5,17.6,20.8
Apr to June 2013 (Q2),7.5,5.7,16.1,51.9,7.7,4.3,15.6,49.4,32.3,7.4,9.7,16.7,38.4,32.3,2.9,39.1,23.7,17.3,19.9
July to Sept 2013 (Q3),7.5,5.6,15.9,51.0,7.7,4.2,15.6,49.2,32.8,7.4,9.4,16.5,38.4,34.0,2.9,40.4,24.2,16.3,19.1
Oct to Dec 2013 (Q4),7.5,5.7,16.1,51.8,7.7,4.1,15.6,49.5,32.0,7.3,10.1,17.2,38.4,31.9,3.0,38.4,24.0,16.8,20.7
Jan to Mar 2014 (Q1),7.5,5.3,15.7,52.7,7.8,4.0,15.6,49.8,32.5,7.4,9.7,17.8,38.4,31.4,2.9,39.3,23.6,16.8,20.3
Apr to June 2014 (Q2),7.6,4.8,15.1,51.3,7.8,3.8,15.6,48.9,34.3,7.5,8.9,16.1,38.4,35.0,2.9,40.7,23.0,16.6,19.7
July to Sept 2014 (Q3),7.6,5.0,14.9,51.7,7.8,3.9,15.6,49.2,33.8,7.5,8.7,16.3,38.4,34.6,2.9,40.5,23.4,16.7,19.4
Oct to Dec 2014 (Q4),7.6,4.9,15.0,51.9,7.8,3.9,15.6,49.6,34.0,7.4,9.3,17.6,38.4,32.7,2.9,40.6,23.2,16.7,19.5
Jan to Mar 2015 (Q1),7.6,4.4,14.3,53.0,7.8,3.3,15.6,49.5,34.4,7.4,8.7,16.8,38.4,32.9,2.8,41.1,23.5,16.4,19.0
Apr to June 2015 (Q2),7.7,4.4,13.9,52.2,7.9,3.4,15.6,49.8,34.4,7.5,8.2,15.8,38.4,35.4,2.8,41.5,23.5,16.0,18.9
July to Sept 2015 (Q3),7.6,4.6,14.4,51.7,7.8,3.8,15.6,49.1,34.4,7.5,8.8,16.5,38.4,34.6,2.8,41.1,23.1,16.8,18.9
Oct to Dec 2015 (Q4),7.6,4.6,14.4,52.7,7.8,3.6,15.6,49.6,33.7,7.4,9.1,17.1,38.4,32.9,3.0,39.3,23.3,17.1,20.4
Jan to Mar 2016 (Q1),7.6,4.7,14.2,52.7,7.8,3.6,15.6,49.6,34.0,7.4,9.2,16.8,38.4,32.9,2.9,40.3,23.2,16.8,19.7
Apr to June 2016 (Q2),7.7,4.4,13.6,52.2,7.9,3.5,15.6,49.7,34.8,7.5,8.6,16.2,38.4,34.8,2.9,40.3,23.1,16.7,19.8
July to Sept 2016 (Q3),7.7,4.7,13.8,51.9,7.9,3.7,15.6,49.2,34.8,7.5,8.3,15.9,38.4,35.9,2.9,41.0,23.1,16.6,19.4
Oct to Dec 2016 (Q4),7.7,4.4,13.8,52.4,7.8,3.7,15.6,48.8,35.0,7.5,8.9,16.5,38.4,33.4,2.9,38.9,24.4,16.3,20.4
Jan to Mar 2017 (Q1),7.7,4.7,13.9,51.7,7.9,3.8,15.6,49.1,34.8,7.5,8.8,16.9,38.4,33.9,3.0,39.5,22.9,17.0,20.5
Apr to June 2017 (Q2),7.7,4.3,12.8,52.3,7.9,3.5,15.6,48.2,36.7,7.6,8.1,15.5,38.4,35.9,2.9,40.1,23.4,16.8,19.6
July to Sept 2017 (Q3),7.7,4.4,13.3,52.6,7.9,3.5,15.6,49.3,35.1,7.5,8.1,16.1,38.4,35.2,2.9,40.1,23.5,16.2,20.2
Oct to Dec 2017 (Q4),7.7,4.4,13.9,52.5,7.9,3.7,15.6,48.9,35.4,7.5,8.1,16.8,38.4,34.3,2.9,40.1,23.0,16.6,20.3
Jan to Mar 2018 (Q1),7.7,4.6,13.7,52.2,7.9,3.8,15.6,48.7,35.4,7.4,8.9,17.1,38.4,33.0,2.9,40.9,23.2,15.8,20.1
Apr to June 2018 (Q2),7.7,4.3,13.4,51.2,7.9,3.6,15.6,47.9,36.4,7.6,7.4,15.2,38.4,37.1,2.8,42.1,22.9,15.4,19.5
July to Sept 2018 (Q3),7.7,4.2,13.4,51.9,7.9,3.5,15.6,47.8,36.4,7.6,7.7,16.0,38.4,35.2,2.9,40.5,23.3,16.7,19.5
Oct to Dec 2018 (Q4),7.7,4.4,12.9,53.1,7.9,3.8,15.6,49.5,34.9,7.5,8.6,15.7,38.4,33.9,2.9,40.2,23.5,16.3,20.0
Jan to Mar 2019 (Q1),7.7,4.5,13.2,51.8,7.9,3.6,15.6,49.0,35.6,7.5,8.1,15.9,38.4,34.3,2.9,39.5,23.7,16.4,20.5
Apr to June 2019 (Q2),7.7,4.5,13.3,51.8,7.9,3.7,15.6,48.2,36.5,7.6,8.2,15.2,38.4,36.2,2.9,40.4,22.8,15.6,21.2
July to Sept 2019 (Q3),7.7,4.8,13.9,51.3,7.9,3.9,15.6,49.0,35.2,7.5,8.2,15.6,38.4,35.2,2.9,40.2,22.9,16.5,20.4
Oct to Dec 2019 (Q4),7.7,4.5,13.9,52.6,7.8,3.7,15.6,48.6,35.1,7.5,8.6,16.4,38.4,34.0,3.0,38.6,23.4,16.7,21.3
Jan to Mar 2020 (Q1),7.6,4.8,14.0,52.3,7.8,3.9,15.6,49.2,34.9,7.3,9.4,18.0,38.4,31.3,3.3,35.0,23.3,17.6,24.1
Apr to June 2020 (Q2),7.5,5.2,15.7,53.3,7.8,3.8,15.6,51.4,32.5,7.3,8.9,18.6,38.4,29.6,3.4,32.0,24.3,18.7,25.0
July to Sept 2020 (Q3),7.5,5.3,14.9,54.6,7.8,3.9,15.6,50.4,32.7,7.5,8.5,16.4,38.4,32.5,3.2,34.8,24.9,17.4,22.8
Oct to Dec 2020 (Q4),7.3,6.0,18.2,54.1,7.7,4.3,15.6,51.4,30.7,7.2,9.5,19.6,38.4,27.3,3.4,30.8,24.3,19.7,25.2
Jan to Mar 2021 (Q1),7.3,6.4,19.7,52.2,7.7,4.4,15.6,49.9,30.8,7.3,9.1,19.1,38.4,27.6,3.2,33.7,24.9,18.4,23.0
Apr to June 2021 (Q2),7.6,4.7,15.0,54.3,7.8,4.0,15.6,49.6,33.0,7.5,8.1,16.0,38.4,33.8,3.0,37.1,24.3,17.3,21.2
July to Sept 2021 (Q3),7.6,4.7,14.3,54.2,7.8,3.7,15.6,50.5,33.5,7.5,7.7,16.4,38.4,33.6,3.1,37.2,24.2,16.8,21.9
Oct to Dec 2021 (Q4),7.6,4.5,14.9,55.3,7.8,3.5,15.6,51.4,32.2,7.4,8.7,17.1,38.4,30.6,3.2,34.1,24.8,18.5,22.7
Jan to Mar 2022 (Q1),7.5,4.8,14.9,54.8,7.8,3.8,15.6,51.5,32.2,7.4,8.5,17.7,38.4,30.5,3.2,34.1,24.2,17.8,24.0
Apr to June 2022 (Q2),7.5,5.0,14.9,54.1,7.8,3.8,15.6,49.2,33.1,7.5,8.4,16.2,38.4,32.3,3.2,35.2,24.6,17.4,22.9
July to Sept 2022 (Q3),7.5,4.9,16.4,54.5,7.8,4.2,15.6,51.2,31.7,7.4,8.5,16.8,38.4,30.5,3.2,35.4,24.5,17.7,22.4
Oct to Dec 2022 (Q4),7.5,5.4,15.7,55.6,7.8,3.8,15.6,50.8,32.1,7.4,8.5,17.2,38.4,29.4,3.3,33.8,23.5,19.1,23.6
Jan to Mar 2023 (Q1),7.4,5.8,16.3,54.1,7.7,4.6,15.6,50.0,32.1,7.3,9.2,17.8,38.4,30.0,3.3,33.3,24.6,18.3,23.8
Apr to June 2023 (Q2),7.5,5.0,15.7,54.6,7.8,3.9,15.6,49.7,32.8,7.5,8.2,16.9,38.4,32.6,3.1,35.8,23.5,18.2,22.5
July to Sept 2023 (Q3),7.5,5.3,15.2,55.4,7.8,4.0,15.6,50.2,33.3,7.4,8.5,16.6,38.4,31.6,3.2,34.3,25.6,18.7,21.5
Oct to Dec 2023 (Q4),7.5,5.8,15.0,53.7,7.8,4.2,15.6,50.2,32.5,7.4,9.3,17.2,38.4,30.0,3.3,33.8,24.2,18.4,23.5
Jan to Mar 2024 (Q1),7.5,5.3,15.6,55.8,7.8,4.0,15.6,50.6,32.2,7.3,9.0,17.9,38.4,30.0,3.2,33.5,25.3,18.0,23.3
Apr to June 2024 (Q2),7.5,5.4,15.4,54.6,7.8,3.9,15.6,50.5,32.8,7.4,8.5,17.4,38.4,31.7,3.2,33.1,25.8,17.7,23.4
July to Sept 2024 (Q3),7.5,4.7,15.8,54.0,7.8,3.6,15.6,48.9,33.9,7.5,7.7,16.9,38.4,32.6,3.1,36.2,23.6,17.7,22.5
